GT	llama3
CWE-79	CWE-94
CWE-121	CWE-120
CWE-476	CWE-416
CWE-476	CWE-476
CWE-79	CWE-79
CWE-862	CWE-22
CWE-200	CWE-200
CWE-20	CWE-20
CWE-79	CWE-79
CWE-352	CWE-352
CWE-125	CWE-125
CWE-79	CWE-79
CWE-94	CWE-78
CWE-79	CWE-79
CWE-79	CWE-79
CWE-269	CWE-264
CWE-121	CWE-400
CWE-269	CWE-269
CWE-862	CWE-285
CWE-79	CWE-79
CWE-269	CWE-119
CWE-908	CWE-269
CWE-125	CWE-125
CWE-79	CWE-79
CWE-79	CWE-79
CWE-125	CWE-125
CWE-862	CWE-22
CWE-674	CWE-20
CWE-787	CWE-119
CWE-415	CWE-416
CWE-89	CWE-89
CWE-787	CWE-120
CWE-269	CWE-16
CWE-79	CWE-79
CWE-352	CWE-352
CWE-79	CWE-94
CWE-400	CWE-400
CWE-150	CWE-22
CWE-287	CWE-22
CWE-59	CWE-22
CWE-80	CWE-94
CWE-121	CWE-120
CWE-416	CWE-416
CWE-20	CWE-20
CWE-522	CWE-22
CWE-89	CWE-89
CWE-862	CWE-285
CWE-476	CWE-119
CWE-74	CWE-94
CWE-89	CWE-89
CWE-264	CWE-269
CWE-352	CWE-352
CWE-787	CWE-190
CWE-79	CWE-79
CWE-611	CWE-22
CWE-862	CWE-285
CWE-122	CWE-120
CWE-416	CWE-416
CWE-502	CWE-94
CWE-284	CWE-264
CWE-89	CWE-89
CWE-125	CWE-125
CWE-89	CWE-89
CWE-284	CWE-284
CWE-352	CWE-4
CWE-352	CWE-352
CWE-79	CWE-79
CWE-20	CWE-400
CWE-79	CWE-79
CWE-89	CWE-89
CWE-79	CWE-79
CWE-79	CWE-95
CWE-125	CWE-119
CWE-22	CWE-22
CWE-489	CWE-22
CWE-862	CWE-22
CWE-89	CWE-89
CWE-362	CWE-611
CWE-416	CWE-264
CWE-502	CWE-94
CWE-269	CWE-269
CWE-89	CWE-89
CWE-79	CWE-79
CWE-78	CWE-78
CWE-787	CWE-120
CWE-61	CWE-78
CWE-89	CWE-89
CWE-620	CWE-287
CWE-401	CWE-400
CWE-863	CWE-200
CWE-259	CWE-259
CWE-79	CWE-79
CWE-416	CWE-416
CWE-78	CWE-78
CWE-1286	CWE-20
