GT_min	llama3	GT
b	B	B
b	B	B
a	A	A
b	B	B
b	B	B
b	B	B
c	C	C
a	A	A
c	B	C
d	D	D
b	B	B
a	A	A
a	A	A
c	C	C
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
c	C	C
c	C	C
c	C	C
d	C	D
d	D	D
c	B	C
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
b	B	B
d	D	D
b	B	B
c	C	C
d	D	D
d	D	D
d	D	D
d	D	D
c	C	C
a	A	A
a	A	A
d	D	D
a	A	A
c	C	C
b	B	B
c	C	C
b	B	B
a	A	A
b	B	B
d	A	D
d	D	D
a	A	A
a	A	A
a	A	A
b	B	B
d	D	D
a	A	A
a	A	A
b	B	B
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
b	B	B
b	A	B
a	A	A
c	C	C
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
b	B	B
b	B	B
d	B	D
d	D	D
d	D	D
d	D	D
a	A	A
c	C	C
d	D	D
d	D	D
d	D	D
c	C	C
b	D	B
c	C	C
b	D	B
c	C	C
a	A	A
a	A	A
a	A	A
d	D	D
b	A	B
b	A	B
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
c	C	C
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	A	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
b	A	B
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
b	D	B
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
c	D	C
a	A	A
d	D	D
d	D	D
d	A	D
a	A	A
d	D	D
d	D	D
d	D	D
c	C	C
a	A	A
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
c	C	C
a	A	A
c	D	C
c	C	C
d	D	D
b	A	B
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
c	C	C
a	A	A
c	C	C
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	A	D
d	D	D
b	B	B
b	B	B
b	B	B
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
d	D	D
c	C	C
c	A	C
a	A	A
b	B	B
d	B	D
b	B	B
c	A	C
a	A	A
b	A	B
b	D	B
c	C	C
b	B	B
a	A	A
c	C	C
a	A	A
b	B	B
a	A	A
b	B	B
b	B	B
a	A	A
b	B	B
c	D	C
b	D	B
d	D	D
a	A	A
c	D	C
a	A	A
a	A	A
d	D	D
b	B	B
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
b	B	B
a	A	A
c	C	C
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
c	C	C
b	D	B
c	C	C
c	C	C
d	D	D
b	A	B
b	A	B
b	B	B
d	C	D
c	C	C
b	B	B
b	B	B
c	C	C
c	C	C
a	A	A
b	B	B
a	A	A
b	B	B
b	D	B
c	C	C
a	A	A
d	D	D
c	C	C
d	D	D
b	B	B
d	D	D
a	A	A
b	B	B
b	B	B
a	A	A
b	B	B
d	A	D
b	B	B
a	A	A
a	A	A
b	B	B
a	A	A
d	D	D
b	B	B
a	A	A
a	A	A
c	C	C
b	B	B
c	D	C
a	A	A
a	A	A
a	A	A
d	D	D
b	B	B
c	C	C
a	A	A
c	D	C
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	D	A
d	D	D
d	D	D
a	A	A
c	C	C
d	D	D
d	D	D
d	B	D
b	B	B
d	A	D
d	D	D
c	C	C
d	D	D
d	D	D
b	B	B
a	A	A
d	D	D
b	B	B
d	D	D
a	A	A
b	B	B
a	A	A
b	B	B
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
a	A	A
d	D	D
d	D	D
a	C	A
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
d	B	D
c	C	C
a	A	A
c	C	C
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
a	A	A
a	A	A
d	D	D
c	B	C
a	A	A
a	A	A
d	D	D
c	C	C
c	D	C
b	D	B
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
c	D	C
c	C	C
b	B	B
d	D	D
a	A	A
b	B	B
c	C	C
c	C	C
b	A	B
a	A	A
d	D	D
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
d	C	D
b	B	B
d	D	D
b	B	B
c	C	C
b	B	B
b	A	B
a	A	A
a	A	A
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
b	D	B
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
d	A	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	C	C
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
c	D	C
a	A	A
a	A	A
b	B	B
b	B	B
d	D	D
a	A	A
c	B	C
a	A	A
a	A	A
d	D	D
b	B	B
d	D	D
b	D	B
d	D	D
b	B	B
b	D	B
d	D	D
a	A	A
d	D	D
d	D	D
a	A	A
d	D	D
b	B	B
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
b	B	B
b	B	B
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
d	D	D
a	A	A
d	D	D
d	D	D
b	B	B
b	B	B
a	A	A
a	A	A
b	B	B
b	B	B
b	B	B
c	D	C
b	B	B
d	D	D
d	D	D
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
b	B	B
d	D	D
d	B	D
b	A	B
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
a	A	A
d	D	D
a	A	A
d	D	D
b	B	B
b	B	B
d	D	D
a	A	A
b	B	B
b	B	B
d	D	D
a	A	A
b	B	B
a	A	A
d	D	D
d	D	D
c	C	C
a	A	A
d	D	D
d	D	D
a	A	A
b	B	B
a	A	A
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	A	D
a	A	A
c	B	C
c	C	C
d	D	D
a	A	A
c	C	C
d	D	D
b	B	B
d	D	D
d	A	D
d	D	D
d	D	D
d	D	D
d	D	D
a	D	A
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
b	B	B
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
d	D	D
a	A	A
d	D	D
d	D	D
d	D	D
b	B	B
c	C	C
b	A	B
a	A	A
d	D	D
a	A	A
d	D	D
c	C	C
d	D	D
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
a	A	A
d	D	D
d	D	D
d	D	D
c	D	C
d	D	D
d	D	D
